County,State,gisjoin,Obama 2012 %,Romney 2012 %,Other 2012 %,Obama 2012 Margin %,Obama 2-Party Margin,Clinton 2016 %,Trump 2016 %,Other 2016 %,Clinton 2016 Margin %,Clinton 2-Party Margin,2012 to 2016 Swing,2012 to 2016 2-Party Swing
Autauga,Alabama,G0100010,0.265878322,0.726182517,0.007939161,-0.460304195,-0.46398787,0.237696712,0.727665879,0.034637408,-0.489969167,-0.507549361,-0.029664971,-0.043561492
Baldwin,Alabama,G0100030,0.215894443,0.773582695,0.010522862,-0.557688251,-0.563619138,0.19385601,0.765457123,0.040686867,-0.571601113,-0.595844145,-0.013912862,-0.032225007
Barbour,Alabama,G0100050,0.513684942,0.482231297,0.004083761,0.031453645,0.031582621,0.465278441,0.520966664,0.013754895,-0.055688222,-0.056464891,-0.087141867,-0.088047512
Bibb,Alabama,G0100070,0.26152019,0.728266033,0.010213777,-0.466745843,-0.471562275,0.212495748,0.764032203,0.023472049,-0.551536455,-0.564793312,-0.084790612,-0.093231037
Blount,Alabama,G0100090,0.12371907,0.864658835,0.011622094,-0.740939765,-0.749652295,0.084258246,0.893348445,0.022393309,-0.809090199,-0.827623426,-0.068150433,-0.077971131
Bullock,Alabama,G0100110,0.763059,0.235062007,0.001878993,0.527996994,0.528990964,0.749469214,0.242038217,0.008492569,0.507430998,0.511777302,-0.020565996,-0.017213662
Butler,Alabama,G0100130,0.460614996,0.535699242,0.003685762,-0.075084246,-0.075362012,0.426706367,0.561268896,0.012024737,-0.134562529,-0.136200301,-0.059478283,-0.060838289
Calhoun,Alabama,G0100150,0.335322222,0.654560391,0.010117388,-0.319238169,-0.322501037,0.276658867,0.68663296,0.036708173,-0.409974093,-0.425596981,-0.090735924,-0.103095944
Chambers,Alabama,G0100170,0.470262131,0.521935528,0.007802341,-0.051673397,-0.052079741,0.416115108,0.564244604,0.019640288,-0.148129496,-0.151097087,-0.0964561,-0.099017346
Cherokee,Alabama,G0100190,0.218018202,0.767563146,0.014418652,-0.549544943,-0.557584561,0.144134911,0.83415634,0.021708749,-0.690021429,-0.705333333,-0.140476486,-0.147748772
Chilton,Alabama,G0100210,0.194536708,0.797846753,0.007616539,-0.603310045,-0.607940447,0.158473515,0.821002776,0.020523708,-0.662529261,-0.676411739,-0.059219217,-0.068471292
Choctaw,Alabama,G0100230,0.475150602,0.521084337,0.00376506,-0.045933735,-0.046107332,0.426357652,0.563082831,0.010559517,-0.136725178,-0.138184338,-0.090791443,-0.092077006
Clarke,Alabama,G0100250,0.457295502,0.539311241,0.003393257,-0.082015739,-0.082294987,0.441178728,0.547924181,0.010897092,-0.106745453,-0.107921484,-0.024729714,-0.025626496
Clay,Alabama,G0100270,0.266736716,0.723056139,0.010207145,-0.456319424,-0.461025174,0.186745169,0.791817633,0.021437198,-0.605072464,-0.618327677,-0.14875304,-0.157302502
Cleburne,Alabama,G0100290,0.154004758,0.836161776,0.009833466,-0.682157018,-0.688931604,0.103746398,0.874260579,0.021993023,-0.770514182,-0.787841191,-0.088357163,-0.098909588
Coffee,Alabama,G0100310,0.24911482,0.741831057,0.009054122,-0.492716237,-0.49721811,0.203255164,0.764433958,0.032310878,-0.561178793,-0.579916401,-0.068462557,-0.082698291
Colbert (new),Alabama,G0100330,0.391960659,0.595937567,0.012101775,-0.203976908,-0.20647563,0.293477825,0.672125226,0.03439695,-0.378647401,-0.392135672,-0.174670493,-0.185660042
Conecuh,Alabama,G0100350,0.506266021,0.489746511,0.003987468,0.01651951,0.016585645,0.467729689,0.519362187,0.012908125,-0.051632498,-0.052307692,-0.068152008,-0.068893337
Coosa,Alabama,G0100370,0.41582843,0.578667679,0.005503891,-0.162839248,-0.163740458,0.339299315,0.64375476,0.016945925,-0.304455446,-0.309703661,-0.141616197,-0.145963203
Covington,Alabama,G0100390,0.204759126,0.787978992,0.007261882,-0.583219866,-0.587486121,0.149749059,0.832308658,0.017942284,-0.682559599,-0.695030024,-0.099339732,-0.107543903
Crenshaw,Alabama,G0100410,0.319414148,0.674820817,0.005765036,-0.355406669,-0.357467482,0.265517792,0.72012127,0.014360938,-0.454603479,-0.461227133,-0.09919681,-0.103759651
Cullman,Alabama,G0100430,0.146617523,0.841599675,0.011782802,-0.694982152,-0.703268627,0.100282523,0.871042695,0.028674782,-0.770760172,-0.793514013,-0.07577802,-0.090245387
Dale,Alabama,G0100450,0.284852077,0.706364175,0.008783747,-0.421512098,-0.425247363,0.235372553,0.736465945,0.028161502,-0.501093392,-0.515613852,-0.079581294,-0.090366489
