name_2012,gisjoin,state_2012,2012votes,swing2008to12,obamamargin2012,medianage_2012,bachelorabove_2012,medianincome_2012,rural,white_2012,black_2012,native_2012,asian_2012,hispanic_2012,otherrace_2012,evangelical_2012,mainlineprotestant_2012,catholic_2012,mormon_2012,other religion,County Power Index 2012
Autauga,G0100010,Alabama,23932,0.018101964,-0.460304195,37,0.217078306,53773,0.42,0.790929763,0.175341081,0.003916119,0.005432036,0.015159171,0.009221829,0.50399,0.082859,0.032359,0.015029,0.00066,0.01155938
Baldwin,G0100030,Alabama,85338,-0.043212676,-0.557688251,41.2,0.277415908,50706,0.423,0.873306802,0.088685239,0.005257585,0.003212969,0.019423856,0.010113549,0.318139,0.11014,0.076859,0.00561,0.00277,0.04121906
Barbour,G0100050,Alabama,11509,0.045985029,0.031453645,38.2,0.145242862,31889,0.678,0.509691314,0.455850682,0.001196458,0.001196458,0.016032544,0.016032544,0.32025,0.077939,0.02094,0.00965,0,0.00555896
Bibb,G0100070,Alabama,8420,-0.008277542,-0.466745843,39.4,0.089960046,36824,0.684,0.757934218,0.222158107,0.004616272,0.000577034,0.003750721,0.010963647,0.443329,0.013179,0,0,0.00013,0.00406694
Blount,G0100090,Alabama,24006,-0.045880631,-0.740939765,39.1,0.123814691,45192,0.9,0.950827595,0.013169023,0.002657968,0.002295518,0.018122508,0.012927389,0.5098,0.05295,0.08276,0.00508,0.000009,0.01159512
Bullock,G0100110,Alabama,5322,0.044155812,0.527996994,40.7,0.118811881,34500,0.514,0.262928349,0.70529595,0.003115265,0,0.016199377,0.012461059,0.19718,0.05507,0.00449,0,0.00486,0.00257058
Butler,G0100130,Alabama,9496,0.058503147,-0.075084246,40.3,0.128684042,30752,0.712,0.57344,0.41056,0.00128,0.00576,0.00448,0.00448,0.413089,0.078909,0.00368,0.00487,0.006489,0.00458666
Calhoun,G0100150,Alabama,46257,0.005972017,-0.319238169,38.7,0.160198204,40093,0.337,0.770253591,0.197710952,0.002805206,0.004937163,0.013801616,0.010491472,0.569809,0.05959,0.02692,0.009689,0.003721,0.02234257
Chambers,G0100170,Alabama,14611,0.033108631,-0.051673397,41.4,0.110240887,32181,0.491,0.608753823,0.37748471,0.000573394,0.002866972,0.006307339,0.004013761,0.37712,0.090019,0.00728,0.006929,0.000061,0.00705725
Cherokee,G0100190,Alabama,9779,-0.037282244,-0.549544943,44.3,0.131276009,36241,0.857,0.924652524,0.047549378,0.007802975,0.001706901,0.013655206,0.004633016,0.41806,0.061179,0,0,0,0.00472335
Chilton,G0100210,Alabama,17462,-0.0249575,-0.603310045,37.6,0.124650199,40834,0.867,0.872588104,0.096635305,0.005102854,0.001754106,0.020092489,0.003827141,0.609669,0.041359,0.01625,0.00566,0.00007,0.00843431
Choctaw,G0100230,Alabama,7968,0.028426539,-0.045933735,44,0.119371946,35123,1,0.565156469,0.421298459,0,0.001401214,0.004670715,0.007473143,0.438699,0.056929,0.00433,0.01133,0,0.00384862
Clarke,G0100250,Alabama,13851,0.033503427,-0.082015739,39.9,0.12698966,30954,0.76,0.564666322,0.416968443,0.003103983,0.001293326,0.008277289,0.005690636,0.527769,0.063179,0.00043,0.00368,0,0.00669016
Clay,G0100270,Alabama,6662,0.016477174,-0.456319424,41.7,0.088493745,34556,1,0.835721108,0.149952245,0.002387775,0,0.00286533,0.009073543,0.63875,0.0745,0.013349,0,0.00007,0.00321781
Cleburne,G0100290,Alabama,6305,-0.058620358,-0.682157018,41.2,0.094760641,37244,1,0.951002227,0.035634744,0.002672606,0,0.004454343,0.00623608,0.69697,0.056369,0,0,0.00007,0.00304537
Coffee,G0100310,Alabama,19770,-0.003845013,-0.492716237,37.8,0.225777485,44626,0.472,0.769431117,0.168060315,0.006579849,0.008224812,0.02892392,0.018779986,0.51832,0.069209,0.03103,0.01612,0,0.0095491
Colbert,G0100330,Alabama,23385,-0.00126387,-0.203976908,41.7,0.18038275,40158,0.439,0.818322611,0.156302121,0.005003574,0.003812247,0.008220157,0.00833929,0.546759,0.06188,0.026,0,0.00013,0.01129518
Conecuh,G0100350,Alabama,7022,0.022424738,0.01651951,43.3,0.09731243,27064,0.809,0.546305419,0.43546798,0.006896552,0.000985222,0.000394089,0.009950739,0.324839,0.074159,0,0,0.020559,0.00339169
Coosa,G0100370,Alabama,5269,0.012425896,-0.162839248,44.4,0.096528885,37425,1,0.681715576,0.307562077,0.000451467,0,0.001693002,0.008577878,0.36225,0.05,0,0,0.00026,0.00254498
Covington,G0100390,Alabama,15423,-0.000208528,-0.583219866,42.5,0.137619229,35321,0.697,0.861826296,0.114486783,0.005149331,0.001888088,0.008410573,0.008238929,0.53097,0.05542,0.00771,0.00712,0.00011,0.00744945
Crenshaw,G0100410,Alabama,6418,0.023070521,-0.355406669,40.3,0.110266962,37309,1,0.744219653,0.240847784,0.005780347,0.001926782,0.003371869,0.003853565,0.535159,0.06292,0,0.01589,0.000149,0.00309995
Cullman,G0100430,Alabama,34457,-0.042609966,-0.694982152,40.1,0.141663177,39244,0.732,0.96203164,0.009741882,0.004829309,0.00316403,0.010907577,0.009325562,0.669889,0.04599,0.05738,0.0077,0.000059,0.01664306
Dale,G0100450,Alabama,18557,0.024450635,-0.421512098,36,0.175439128,45247,0.509,0.750711286,0.182766563,0.003251592,0.010567674,0.035496545,0.017206341,0.357779,0.07387,0.00553,0.01717,0.00018,0.00896321
Dallas,G0100470,Alabama,20953,0.052554945,0.397270081,37.3,0.133397829,26178,0.456,0.324677369,0.662889518,0.001101668,0.000472144,0.004249292,0.006610009,0.382569,0.05564,0.01223,0.007509,0.00185,0.0101205
DeKalb,G0100490,Alabama,23863,-0.036493526,-0.548631773,37.9,0.098695587,36853,0.901,0.924309336,0.016740269,0.011707918,0.003491835,0.026086063,0.017664578,0.45755,0.0552,0.037369,0.003529,0.000011,0.01152605
Elmore,G0100510,Alabama,35485,0.021779894,-0.487501761,37.7,0.211075532,55514,0.542,0.771940148,0.202000673,0.004455279,0.004287155,0.00764963,0.009667115,0.35604,0.07442,0.008539,0.00653,0.00017,0.01713959
Escambia,G0100530,Alabama,14869,0.029903843,-0.255430762,38.7,0.12188334,31075,0.635,0.638400552,0.314719062,0.03516029,0.001551189,0.005860048,0.004308859,0.467569,0.04825,0.01383,0,0.01446,0.00718187
Etowah,G0100550,Alabama,42530,-0.001704483,-0.383893722,40.2,0.151716795,37660,0.375,0.827126816,0.142993085,0.002981666,0.003298864,0.013068578,0.01053099,0.615879,0.055689,0.07301,0.00779,0.005969,0.02054239
Fayette,G0100570,Alabama,7946,-0.044472222,-0.533224264,43.1,0.115640047,33090,0.802,0.863398204,0.114146707,0.001871257,0.001122754,0.013098802,0.006362275,0.550429,0.046109,0.005219,0.007129,0,0.00383799
Franklin,G0100590,Alabama,10859,-0.013223677,-0.40482549,38.3,0.121592097,37235,0.704,0.903402603,0.04407399,0.006394154,0.001141813,0.039506737,0.005480703,0.527789,0.037689,0.046899,0.01498,0,0.005245
Geneva,G0100610,Alabama,11320,-0.005613879,-0.630388693,42.2,0.108715376,33618,0.896,0.879509203,0.098159509,0.003680982,0.001472393,0.006625767,0.010552147,0.47805,0.073159,0.00187,0.00758,0.011639,0.00546767
Greene,G0100630,Alabama,5340,0.030280422,0.696067416,41.4,0.116325847,23777,1,0.202623907,0.792274053,0.003644315,0.002186589,0,-0.000728863,0.12537,0.04146,0.004089,0,0.00243,0.00257927
Hale,G0100650,Alabama,8643,0.037710271,0.254656948,40.4,0.117270381,29409,0.892,0.420221843,0.57337884,0.001279863,0.000341297,0.000853242,0.003924915,0.276779,0.087939,0.00159,0.010089,0.000381,0.00417465
Henry,G0100670,Alabama,8760,0.006306523,-0.290525114,42.9,0.157520073,40680,0.878,0.703647416,0.274696049,0,0.006838906,0.00949848,0.005319149,0.34823,0.05225,0,0,0,0.00423116
Houston,G0100690,Alabama,41918,0.004787178,-0.403239658,38.3,0.192567617,41828,0.338,0.723863259,0.242416197,0.002987056,0.005841354,0.014537006,0.010355128,0.595649,0.120579,0.02512,0.011019,0.007511,0.02024679
Jackson,G0100710,Alabama,20577,-0.049457423,-0.418768528,41.4,0.132146507,37059,0.77,0.922011036,0.033108522,0.019497241,0.001961987,0.009932557,0.013488657,0.453079,0.03975,0.02846,0.00607,0.00013,0.00993888
Jefferson,G0100730,Alabama,303918,0.009001952,0.059861542,37,0.292834863,45415,0.098,0.561425339,0.411003702,0.001902509,0.007640889,0.011733854,0.006293706,0.46925,0.10181,0.08365,0.007219,0.012631,0.14679526
Lamar,G0100750,Alabama,7166,0.005992274,-0.531816913,42.6,0.101505965,35271,1,0.872888889,0.114666667,0.000355556,0,0.008888889,0.0032,0.61123,0.072439,0,0,0,0.00346125
Lauderdale,G0100770,Alabama,36924,-0.026908353,-0.308742281,40.4,0.218676198,40701,0.493,0.879801648,0.09554407,0.004330214,0.004679425,0.010825534,0.004819109,0.441839,0.08714,0.02101,0.00732,0.00052,0.01783464
