county,state,white_only_noncollege_pct,white_only_educated_pct,hispanic_only_pct,hispanic_educated_pct,asian_only_pct,asian_educated_pct,black_only_pct,black_educated_pct,white_and_white_hispanic_educated_pct,white_and_white_hispanic_noncollege_pct,other_pct,FIPS
Autauga,Alabama,0.510850568,0.17887659,0.019880571,0.004490727,0.006165647,0.001747742,0.157199728,0.028837751,0.183051753,0.515996699,0.127026896,1001
Baldwin,Alabama,0.531544705,0.245503736,0.030056686,0.006660654,0.004612213,0.001958258,0.073022417,0.008741304,0.250985571,0.54921412,0.115260242,1003
Barbour,Alabama,0.367211073,0.084103645,0.028832799,0.003448441,0.002394751,0,0.38857225,0.025575938,0.084774175,0.372479525,0.128885483,1005
Bibb,Alabama,0.587056578,0.084081724,0.015379434,0.003929053,0.000785811,0.000785811,0.18460934,0.017007185,0.088010777,0.598057925,0.128087113,1007
Blount,Alabama,0.698796,0.112214589,0.055597125,0.001451148,0.001700565,0.000408136,0.012425459,0.000634877,0.112464005,0.747160057,0.119266263,1009
Bullock,Alabama,0.179391157,0.047233631,0.001570428,0,0.004590481,0,0.632157526,0.043609568,0.047233631,0.180961585,0.135056777,1011
Butler,Alabama,0.406637937,0.101177076,0.012285328,0.000707532,0.013057181,0.005338651,0.356274522,0.035119316,0.101177076,0.413713257,0.110567955,1013
Calhoun,Alabama,0.547461271,0.123113406,0.021010173,0.002050043,0.007125285,0.002393564,0.161377186,0.023702932,0.124332351,0.559030163,0.139912679,1015
Chambers,Alabama,0.448700206,0.086366187,0.002319057,0,0.00882738,0.003703011,0.338283149,0.019038713,0.086366187,0.450682626,0.115504021,1017
Cherokee,Alabama,0.725681785,0.120266394,0.009041855,0,0.004277867,0.001361139,0.039861942,0.002673667,0.120266394,0.732730543,0.100870157,1019
Chilton,Alabama,0.629277395,0.116471544,0.052186475,0.00165528,0.003882385,0.003882385,0.086405634,0.00866765,0.117795769,0.648027207,0.111776567,1021
Choctaw,Alabama,0.455115417,0.065260758,0.003989741,0,0.000569963,0,0.366581172,0.037332573,0.065260758,0.456350337,0.108482949,1023
Clarke,Alabama,0.410057725,0.089500234,0.00130012,0,0.005356493,0.002184201,0.374278434,0.01575745,0.089500234,0.411357845,0.119506995,1025
Clay,Alabama,0.651717286,0.092913237,0.022613303,0.000473082,0,0,0.121771218,0.0046362,0.093386318,0.671019018,0.110984956,1027
Cleburne,Alabama,0.75228798,0.096225922,0.017083588,0,0.003312124,0.001917546,0.026932799,0.002963479,0.096225922,0.764839188,0.104157587,1029
Coffee,Alabama,0.492474723,0.171190409,0.045408938,0.008129872,0.012246263,0.004373665,0.145360056,0.021559598,0.177956726,0.523707839,0.133319612,1031
Colbert,Alabama,0.589817551,0.136156841,0.015688758,0.002087144,0.005440645,0.002204399,0.135875428,0.020543126,0.136696215,0.5964542,0.117020778,1033
Conecuh,Alabama,0.444061962,0.052951301,0.007795889,0.000708717,0.001417434,0.001417434,0.377341298,0.022172725,0.053660018,0.451149134,0.116432115,1035
Coosa,Alabama,0.536970243,0.059625789,0.011834986,0,0,0,0.280770965,0.028967538,0.059625789,0.54880523,0.110798016,1037
Covington,Alabama,0.647648839,0.125123253,0.010472272,0.001224032,0.004454116,0.000612016,0.101662643,0.006868179,0.125667267,0.654449016,0.110638877,1039
Crenshaw,Alabama,0.550289233,0.100298563,0.012875536,0,0.013808546,0.000839709,0.205075574,0.027710394,0.100298563,0.552248554,0.117652547,1041
Cullman,Alabama,0.712851183,0.127782096,0.026365468,0.001919508,0.004870156,0.002585783,0.008772626,0.00042832,0.128511826,0.731998667,0.119358472,1043
Dale,Alabama,0.542437762,0.109664986,0.038702183,0.007312759,0.01248713,0.001293593,0.156603923,0.017133504,0.115288154,0.565616833,0.140104015,1045
Dallas,Alabama,0.229510842,0.057337377,0.006098348,0.000451729,0.003613836,0.00232318,0.566533299,0.059079763,0.057789107,0.232511616,0.136906298,1047
DeKalb,Alabama,0.672261037,0.091426752,0.082154832,0.001910577,0.002828404,0.001741997,0.013804859,0.000618128,0.091745181,0.708168655,0.137524116,1049
Elmore,Alabama,0.512274854,0.162890199,0.020046792,0.004823409,0.005320172,0.00229152,0.169668611,0.024870201,0.165085571,0.522434459,0.129799372,1051
Escambia,Alabama,0.486856405,0.077095503,0.010494498,0.000543404,0.001358511,0,0.263788887,0.022007879,0.077638908,0.494973509,0.160406195,1053
Etowah,Alabama,0.597325261,0.127757239,0.020420316,0.001625189,0.006438727,0.002381957,0.123886559,0.013621815,0.128749721,0.611617001,0.124171898,1055
Fayette,Alabama,0.655282332,0.116803279,0.004477838,0,0.001442016,0,0.111718276,0.008272617,0.116803279,0.655965392,0.11027626,1057
Franklin,Alabama,0.62825341,0.102351661,0.096828186,0.001046113,0.001339024,0.000334756,0.033977739,0.004770274,0.103230396,0.688927944,0.137249979,1059
Geneva,Alabama,0.683707757,0.095910138,0.024001536,0.001584101,0.00297619,0,0.079925115,0.006192396,0.09749424,0.699500768,0.113479263,1061
Greene,Alabama,0.158708504,0.032590571,0.000909504,0.000303168,0.002122177,0,0.701985751,0.052296498,0.032590571,0.158708504,0.103683492,1063
Hale,Alabama,0.311885458,0.06856995,0.011730205,0.000690012,0.001380024,0,0.486803519,0.054424702,0.06856995,0.312144213,0.119630844,1065
Henry,Alabama,0.523865732,0.118258945,0.018443379,0.005090373,0,0,0.234968646,0.021689414,0.1217263,0.533087422,0.104463298,1067
Houston,Alabama,0.480544084,0.158867882,0.022076561,0.00258907,0.008171359,0.003106884,0.212745804,0.021243006,0.160901249,0.493944101,0.117594312,1069
Jackson,Alabama,0.715760328,0.104243072,0.01649139,0.001602992,0.00259879,0.000898647,0.032229859,0.001748719,0.104850266,0.726884123,0.12867656,1071
Jefferson,Alabama,0.285124097,0.194541055,0.024819489,0.00404052,0.013292066,0.008008006,0.353276038,0.066886688,0.197539369,0.294365775,0.128947254,1073
Lamar,Alabama,0.688816267,0.107026144,0.008714597,0.001180102,0,0,0.097222222,0.007988381,0.108206245,0.696169208,0.09822077,1075
Lauderdale,Alabama,0.581188805,0.167307196,0.01571221,0.001548135,0.00624686,0.002458003,0.077827722,0.011977674,0.168529408,0.593764005,0.151717207,1077
