FIPS,gisjoin,state,county,total_votes,dem_margin,past_pres_partisanship,CVAP,median_age,bachelor %,median_income,rural %,white %,black %,native %,asian %,hispanic %,evangelical,protestant,catholic,mormon,total_religious,black_protestant
1001,G0100010,Alabama,Autauga County,24661,-0.489969,-0.4603042,40690,37.8,0.24592771,53099,0.42,0.75683482,0.18370906,0.00410543,0.00806554,0.02572254,0.50399,0.082859,0.032359,0.015029,0.676879,0.041979
1003,G0100030,Alabama,Baldwin County,94090,-0.571601,-0.5576883,151770,42.3,0.29547111,51365,0.423,0.83178788,0.09225603,0.00615508,0.00664127,0.04366698,0.318139,0.11014,0.076859,0.00561,0.53174,0.01717
1005,G0100050,Alabama,Barbour County,10390,-0.055688,0.03145365,20375,38.7,0.12867787,33956,0.678,0.45885624,0.4788833,0.00172841,0.00443376,0.04309762,0.32025,0.077939,0.02094,0.00965,0.54999,0.121209
1007,G0100070,Alabama,Bibb County,8748,-0.551536,-0.4667458,17590,40.2,0.12,39776,0.684,0.74765196,0.21212121,0.00358852,0.00062024,0.02223994,0.443329,0.013179,0,0,0.4988,0.042159
1009,G0100090,Alabama,Blount County,25384,-0.80909,-0.7409398,42430,40.8,0.13049757,46212,0.9,0.87657701,0.01557951,0.0029634,0.00159434,0.08727298,0.5098,0.05295,0.08276,0.00508,0.65162,0.00101
1011,G0100110,Alabama,Bullock County,4701,0.507431,0.52799699,8195,39.2,0.10255012,29335,0.514,0.21683093,0.75502275,0.00796058,0.00796058,0.00123199,0.19718,0.05507,0.00449,0,0.57724,0.315649
1013,G0100130,Alabama,Butler County,8685,-0.134563,-0.0750842,15425,40.6,0.16080006,34315,0.712,0.52781065,0.43515779,0.00073965,0.01000986,0.01247535,0.413089,0.078909,0.00368,0.00487,0.586149,0.079099
1015,G0100150,Alabama,Calhoun County,47376,-0.409974,-0.3192382,88525,39.1,0.17652967,41954,0.337,0.72997765,0.20331714,0.00197613,0.00931112,0.03436225,0.569809,0.05959,0.02692,0.009689,0.71362,0.043539
1017,G0100170,Alabama,Chambers County,13778,-0.148129,-0.0516734,26480,43.1,0.12484279,36027,0.491,0.56743489,0.4047857,0.0022929,0.00917162,0.00435064,0.37712,0.090019,0.00728,0.006929,0.65033,0.16893
1019,G0100190,Alabama,Cherokee County,10503,-0.690021,-0.5495449,20505,45.7,0.13961699,38925,0.857,0.91871645,0.04606711,0.00586941,0.00332085,0.01563888,0.41806,0.061179,0,0,0.47924,0
1021,G0100210,Alabama,Chilton County,18255,-0.662529,-0.60331,31555,38.7,0.14854549,42594,0.867,0.80610265,0.10009814,0.00305817,0.00435904,0.07624894,0.609669,0.041359,0.01625,0.00566,0.69858,0.02557
1023,G0100230,Alabama,Choctaw County,7268,-0.136725,-0.0459337,10515,45.1,0.11960203,32622,1,0.56205314,0.42229247,0.00015052,0.00045157,0.00556935,0.438699,0.056929,0.00433,0.01133,0.701419,0.190129
1025,G0100250,Alabama,Clarke County,12936,-0.106745,-0.0820157,19195,42,0.12137234,32735,0.76,0.53177446,0.45494426,0.00032197,0.00458808,0.00173059,0.527769,0.063179,0.00043,0.00368,0.792399,0.19734
1027,G0100270,Alabama,Clay County,6572,-0.605072,-0.4563194,10360,43.7,0.11062884,38815,1,0.80264036,0.14744493,0.00882593,0,0.03107617,0.63875,0.0745,0.013349,0,0.739659,0.01299
1029,G0100290,Alabama,Cleburne County,6532,-0.770514,-0.682157,11295,41.5,0.11528073,36316,1,0.92795677,0.02361417,0.00140084,0.00573678,0.02328064,0.69697,0.056369,0,0,0.765629,0.01222
1031,G0100310,Alabama,Coffee County,20513,-0.561179,-0.4927162,37955,39.3,0.23666725,47872,0.472,0.71371419,0.17004962,0.00825636,0.01221784,0.0655802,0.51832,0.069209,0.03103,0.01612,0.66111,0.026429
1033,G0100330,Alabama,Colbert County,24626,-0.378647,-0.2039769,42235,42.4,0.18470905,43786,0.439,0.78853192,0.1564816,0.00603196,0.00424812,0.02401751,0.546759,0.06188,0.026,0,0.69459,0.05982
1035,G0100350,Alabama,Conecuh County,6543,-0.051632,0.01651951,9825,44,0.0866258,27609,0.809,0.50720643,0.46215642,0.00149642,0.00110262,0.01764196,0.324839,0.074159,0,0,0.570759,0.151189
1037,G0100370,Alabama,Coosa County,5223,-0.304455,-0.1628392,8755,44.9,0.09940559,31910,1,0.65022091,0.3236377,0.00073638,0,0.0128866,0.36225,0.05,0,0,0.532799,0.12029
1039,G0100390,Alabama,Covington County,15818,-0.68256,-0.5832199,29295,42.9,0.14921486,37313,0.697,0.83514008,0.12976755,0.00344563,0.00466485,0.01531978,0.53097,0.05542,0.00771,0.00712,0.61925,0.017929
1041,G0100410,Alabama,Crenshaw County,6252,-0.454603,-0.3554067,10535,41.6,0.14647681,37557,1,0.70869315,0.23675878,0.00885147,0.01669545,0.01683938,0.535159,0.06292,0,0.01589,0.631669,0.01755
1043,G0100430,Alabama,Cullman County,37278,-0.77076,-0.6949822,61625,40.5,0.14969018,39297,0.732,0.92463968,0.01036696,0.00522652,0.00611196,0.04213193,0.669889,0.04599,0.05738,0.0077,0.781019,0
1045,G0100450,Alabama,Dale County,18617,-0.501093,-0.4215121,37405,36.9,0.16068699,44093,0.509,0.70191707,0.19402504,0.00576532,0.01024049,0.05888282,0.357779,0.07387,0.00553,0.01717,0.49217,0.03763
1047,G0100470,Alabama,Dallas County,18730,0.375,0.39727008,30615,38.9,0.13784304,28136,0.456,0.28069328,0.69497417,0.00219669,0.00393473,0.00958335,0.382569,0.05564,0.01223,0.007509,0.605799,0.146009
1049,G0100490,Alabama,DeKalb County,26086,-0.68857,-0.5486318,49580,39.3,0.11365936,38248,0.901,0.81015549,0.01477367,0.01285648,0.00301676,0.14015253,0.45755,0.0552,0.037369,0.003529,0.553659,0
1051,G0100510,Alabama,Elmore County,36905,-0.515056,-0.4875018,61485,38.3,0.22238399,53398,0.542,0.73688501,0.21112442,0.00202577,0.00564497,0.02801487,0.35604,0.07442,0.008539,0.00653,0.46968,0.02398
1053,G0100530,Alabama,Escambia County,15213,-0.359043,-0.2554308,29330,39.9,0.1162565,32334,0.635,0.60594059,0.32330033,0.03466667,0.00105611,0.02059406,0.467569,0.04825,0.01383,0,0.60059,0.056469
1055,G0100550,Alabama,Etowah County,43474,-0.496128,-0.3838937,78780,40.9,0.16491855,40478,0.375,0.78431354,0.15284967,0.0040053,0.00676258,0.03629926,0.615879,0.055689,0.07301,0.00779,0.804419,0.04609
1057,G0100570,Alabama,Fayette County,8196,-0.648563,-0.5332243,13155,43.6,0.1414535,36205,0.802,0.85229101,0.12238575,0,0.00268129,0.00858011,0.550429,0.046109,0.005219,0.007129,0.640279,0.031379
1059,G0100590,Alabama,Franklin County,11955,-0.603738,-0.4048255,21935,39.1,0.12390099,36138,0.704,0.78073037,0.04060431,0.0074114,0.00323061,0.1601685,0.527789,0.037689,0.046899,0.01498,0.64396,0.016589
1061,G0100610,Alabama,Geneva County,11659,-0.720276,-0.6303887,20515,42,0.11661792,36519,0.896,0.84061274,0.09422754,0.00470764,0.00384831,0.03706333,0.47805,0.073159,0.00187,0.00758,0.61545,0.043149
1063,G0100630,Alabama,Greene County,4862,0.650615,0.69606742,6595,41.3,0.09974853,21339,1,0.17142192,0.81180855,0.00407593,0.00163037,0.00617212,0.12537,0.04146,0.004089,0,0.2681,0.09475
1065,G0100650,Alabama,Hale County,8010,0.199254,0.25465695,11565,39.7,0.14028742,33351,0.892,0.39969655,0.58282209,0.0032324,0.00105548,0.01207204,0.276779,0.087939,0.00159,0.010089,0.604759,0.221639
1067,G0100670,Alabama,Henry County,8017,-0.413776,-0.2905251,13335,43.2,0.16144342,41045,0.878,0.68563449,0.27887357,0,0,0.02530983,0.34823,0.05225,0,0,0.473639,0.07317
