FIPS,gisjoin,state,county,dem_margin,past_pres_partisanship,total_votes,CVAP,median_age,bachelor %,median_income,rural %,white %,black %,native %,asian %,hispanic %,evangelical,protestant,catholic,mormon,total_religious,black_protestant,poverty
1001,G0100010,Alabama,Autauga,-0.4442,-0.4899692,27770,41305,37.8,0.276893,58786,0.42,0.772061,0.187023,0.002058,0.0069,0.017916,0.50399,0.082859,0.032359,0.015029,0.676879,0.041979,12.1
1003,G0100030,Alabama,Baldwin,-0.5376,-0.5716011,109679,159195,42.8,0.313459,55962,0.423,0.862684,0.087754,0.007444,0.005622,0.026477,0.318139,0.11014,0.076859,0.00561,0.53174,0.01717,10.1
1005,G0100050,Alabama,Barbour,-0.0766,-0.0556882,10518,19990,39.9,0.122159,34186,0.678,0.496498,0.467984,0.003252,0.002751,0.01976,0.32025,0.077939,0.02094,0.00965,0.54999,0.121209,27.1
1007,G0100070,Alabama,Bibb,-0.5773,-0.5515365,9595,17670,39.9,0.114892,45340,0.684,0.750707,0.226938,0.000566,0.001981,0.01245,0.443329,0.013179,0,0,0.4988,0.042159,20.3
1009,G0100090,Alabama,Blount,-0.8,-0.8090902,27588,42625,40.8,0.126429,48695,0.9,0.925982,0.015015,0.002933,0.001877,0.043167,0.5098,0.05295,0.08276,0.00508,0.65162,0.00101,16.3
1011,G0100110,Alabama,Bullock,0.4986,0.507431,4613,8200,39.6,0.133024,32152,0.514,0.242073,0.738415,0.010976,0.003049,0.006098,0.19718,0.05507,0.00449,0,0.57724,0.315649,30
1013,G0100130,Alabama,Butler,-0.1574,-0.1345625,9488,15360,40.7,0.16093,39109,0.712,0.547852,0.433268,0.00026,0.005534,0.004232,0.413089,0.078909,0.00368,0.00487,0.586149,0.079099,21.6
1015,G0100150,Alabama,Calhoun,-0.39,-0.4099741,50983,88400,39.7,0.17968,45197,0.337,0.75707,0.202093,0.002376,0.006448,0.017873,0.569809,0.05959,0.02692,0.009689,0.71362,0.043539,17.2
1017,G0100170,Alabama,Chambers,-0.1563,-0.1481295,15284,26425,43,0.13232,39872,0.491,0.581646,0.386944,0.003595,0.004541,0.017408,0.37712,0.090019,0.00728,0.006929,0.65033,0.16893,19.6
1019,G0100190,Alabama,Cherokee,-0.7283,-0.6900214,12301,20490,45.9,0.128903,41014,0.857,0.93509,0.046608,0.001952,0.000732,0.009029,0.41806,0.061179,0,0,0.47924,0,15.9
1021,G0100210,Alabama,Chilton,-0.6739,-0.6625293,19310,31955,38.6,0.14161,45182,0.867,0.861993,0.10108,0.001252,0.002034,0.024566,0.609669,0.041359,0.01625,0.00566,0.69858,0.02557,16
1023,G0100230,Alabama,Choctaw,-0.1567,-0.1367252,7464,10400,46.1,0.129822,34884,1,0.569231,0.422596,0.000962,0.001442,0.003846,0.438699,0.056929,0.00433,0.01133,0.701419,0.190129,22.6
1025,G0100250,Alabama,Clarke,-0.1195,-0.1067455,13135,18970,42.3,0.125548,36127,0.76,0.546125,0.443595,0.001318,0.004744,0.001318,0.527769,0.063179,0.00043,0.00368,0.792399,0.19734,18.4
1027,G0100270,Alabama,Clay,-0.6254,-0.6050725,6930,10385,43.7,0.101669,41225,1,0.832451,0.144439,0.006259,0.001444,0.012037,0.63875,0.0745,0.013349,0,0.739659,0.01299,16.6
1029,G0100290,Alabama,Cleburne,-0.8038,-0.7705142,7227,11345,42.5,0.136716,40188,1,0.947113,0.034376,0.003526,0.000353,0.007492,0.69697,0.056369,0,0,0.765629,0.01222,13.3
1031,G0100310,Alabama,Coffee,-0.5308,-0.5611788,22275,38220,39.3,0.23416,53155,0.472,0.739403,0.171507,0.011905,0.007326,0.047488,0.51832,0.069209,0.03103,0.01612,0.66111,0.026429,15
1033,G0100330,Alabama,Colbert,-0.3894,-0.3786474,27886,42390,42.7,0.187277,47558,0.439,0.809743,0.161123,0.006369,0.002831,0.010616,0.546759,0.06188,0.026,0,0.69459,0.05982,14.6
